Sampling Rate : 128 Hz,Duration : 10 Minutes
Time,PPG
6.609375,-31994.38086
6.6171875,-31985.58984
6.625,-31981.95313
6.6328125,-31981.22266
6.640625,-31980.0293
6.6484375,-31976.26367
6.65625,-31969.09961
6.6640625,-31960.26953
6.671875,-31953.07617
6.6796875,-31949.95117
6.6875,-31952.35352
6.6953125,-31958.77344
6.703125,-31966.38086
6.7109375,-31972.93164
6.71875,-31977.24414
6.7265625,-31980.5293
6.734375,-31984.30664
6.7421875,-31989.44531
6.75,-31995.71289
6.7578125,-32001.95508
6.765625,-32007.45313
6.7734375,-32012.50781
6.78125,-32017.56641
6.7890625,-32023.21484
6.796875,-32028.2168
6.8046875,-32030.75
6.8125,-32029.50391
6.8203125,-32024.11133
6.828125,-32016.81445
6.8359375,-32009.74219
6.84375,-32003.87109
6.8515625,-31998.39648
6.859375,-31990.44727
6.8671875,-31978.11328
6.875,-31961.15039
6.8828125,-31941.49805
6.890625,-31921.91016
6.8984375,-31903.53906
6.90625,-31885.25
6.9140625,-31864.51367
6.921875,-31839.0625
6.9296875,-31809.92383
6.9375,-31780.11133
6.9453125,-31753.62695
6.953125,-31732.88477
6.9609375,-31716.80273
6.96875,-31703.52539
6.9765625,-31691.5625
6.984375,-31682.60938
6.9921875,-31681.61523
7,-31693.71094
7.0078125,-31721.44336
7.015625,-31762.48438
7.0234375,-31810.31055
7.03125,-31857.07617
7.0390625,-31896.29102
7.046875,-31924.86523
7.0546875,-31942.85938
7.0625,-31951.49414
7.0703125,-31953.10352
7.078125,-31949.47461
7.0859375,-31943.25391
7.09375,-31938.14258
7.1015625,-31937.66602
7.109375,-31945.25977
7.1171875,-31961.51172
7.125,-31984.2793
7.1328125,-32009.71484
7.140625,-32033.26563
7.1484375,-32052.21094
7.15625,-32066.05078
7.1640625,-32076.32031
7.171875,-32085.41016
7.1796875,-32094.26758
7.1875,-32101.43555
7.1953125,-32102.21875
7.203125,-32088.88086
7.2109375,-32053.71875
7.21875,-31990.29492
7.2265625,-31897.21289
7.234375,-31779.75391
7.2421875,-31649.29883
7.25,-31522.52148
7.2578125,-31415.74805
7.265625,-31340.47461
7.2734375,-31299.81055
7.28125,-31287.16406
7.2890625,-31290.06836
7.296875,-31295.48438
7.3046875,-31295.43945
7.3125,-31289.74219
7.3203125,-31283.81836
7.328125,-31284.67969
7.3359375,-31296.03906
7.34375,-31315.92773
7.3515625,-31339.56055
7.359375,-31361.52344
7.3671875,-31379.75586
7.375,-31396.14258
7.3828125,-31414.08984
7.390625,-31437.6543
7.3984375,-31468.73633
7.40625,-31507.61328
7.4140625,-31553.87891
7.421875,-31606.24414
7.4296875,-31663.125
7.4375,-31722.11328
7.4453125,-31780.58984
7.453125,-31836.99219
7.4609375,-31890.98438
7.46875,-31943.63477
7.4765625,-31995.59375
7.484375,-32045.10547
7.4921875,-32089.25781
7.5,-32124.36133
7.5078125,-32149.32031
7.515625,-32166.91211
7.5234375,-32181.74414
7.53125,-32198.58984
7.5390625,-32217.83203
7.546875,-32235.13672
7.5546875,-32243.90039
7.5625,-32238.60547
7.5703125,-32218.93164
7.578125,-32190.0332
7.5859375,-32160.31055
7.59375,-32137.95508
7.6015625,-32127.44727
7.609375,-32129.63086
7.6171875,-32142.83789
7.625,-32164.38281
7.6328125,-32193.06055
7.640625,-32227.56445
7.6484375,-32266.64258
7.65625,-32308.88281
7.6640625,-32352.41602
7.671875,-32397.02734
7.6796875,-32442.78906
7.6875,-32489.55664
7.6953125,-32536.03516
7.703125,-32579.06445
7.7109375,-32615.57813
7.71875,-32644.28125
7.7265625,-32666.79102
7.734375,-32686.98828
7.7421875,-32708.07227
7.75,-32730.9707
7.7578125,-32753.76172
7.765625,-32772.75391
7.7734375,-32786.33984
7.78125,-32794.73438
7.7890625,-32800.24219
7.796875,-32805.48438
7.8046875,-32811.33984
7.8125,-32818.82031
7.8203125,-32829.21094
7.828125,-32845.47266
7.8359375,-32871.57813
7.84375,-32909.41406
7.8515625,-32957.19531
7.859375,-33009.04297
7.8671875,-33057.53906
7.875,-33097.8125
7.8828125,-33129.50781
7.890625,-33157.33594
7.8984375,-33188.10938
7.90625,-33226.40234
7.9140625,-33273.48828
7.921875,-33325.78906
7.9296875,-33377.70313
7.9375,-33424.63672
7.9453125,-33464.09766
7.953125,-33497.69531
7.9609375,-33528.70703
7.96875,-33560.81641
7.9765625,-33596.85547
7.984375,-33637.51563
7.9921875,-33682.27344
8,-33729.64063
8.0078125,-33778.60938
8.015625,-33828.48828
8.0234375,-33878.98047
8.03125,-33930.64453
8.0390625,-33984.45703
8.046875,-34040.73047
8.0546875,-34100.04688
8.0625,-34161.04297
8.0703125,-34221.14063
8.078125,-34277.27344
8.0859375,-34326.10547
8.09375,-34366.88281
8.1015625,-34400.78516
8.109375,-34430.99219
8.1171875,-34461.26953
8.125,-34493.90625
8.1328125,-34529.05859
8.140625,-34564.60938
8.1484375,-34596.98047
8.15625,-34623.39063
8.1640625,-34642.42578
8.171875,-34655.41797
8.1796875,-34665.625
8.1875,-34676.13281
8.1953125,-34689.62109
8.203125,-34705.83594
8.2109375,-34722.82813
8.21875,-34738.80078
8.2265625,-34752.81641
8.234375,-34766.94531
8.2421875,-34783.82422
8.25,-34805.13672
8.2578125,-34829.79297
8.265625,-34853.875
8.2734375,-34873.23438
8.28125,-34886.27734
8.2890625,-34895.21875
8.296875,-34905.71484
8.3046875,-34922.76563
8.3125,-34948.42969
8.3203125,-34980.36719
8.328125,-35012.89844
8.3359375,-35041.92188
8.34375,-35066.12891
8.3515625,-35088.19141
8.359375,-35112.63672
8.3671875,-35141.40234
8.375,-35173.02734
8.3828125,-35201.90625
8.390625,-35221.79688
8.3984375,-35229.625
8.40625,-35227.27344
8.4140625,-35221.15234
8.421875,-35218.76563
8.4296875,-35224.40625
8.4375,-35237.91016
8.4453125,-35254.09375
8.453125,-35266.95313
8.4609375,-35273.23828
8.46875,-35273.9375
8.4765625,-35275.32422
8.484375,-35284.26172
8.4921875,-35305.18359
8.5,-35338.21875
8.5078125,-35377.25
8.515625,-35415.93359
8.5234375,-35449.10547
8.53125,-35476.11328
8.5390625,-35500.76953
8.546875,-35528.54297
8.5546875,-35563.40234
8.5625,-35605.375
8.5703125,-35649.94531
8.578125,-35691.31641
8.5859375,-35724.15234
8.59375,-35746.92578
8.6015625,-35762.12109
8.609375,-35773.91406
8.6171875,-35787.4375
8.625,-35804.90625
8.6328125,-35825.48047
8.640625,-35845.99609
8.6484375,-35861.75
8.65625,-35869.95313
8.6640625,-35870.15625
8.671875,-35865.19531
8.6796875,-35860.04297
8.6875,-35859.34375
